category,category_id,subcategory,subcategory_id,amount,year
議会費,1,議会費,100,533953000,2013
総務費,2,総務管理費,101,3627961000,2013
総務費,2,徴税費,102,456955000,2013
総務費,2,戸籍住民基本台帳費,103,110644000,2013
総務費,2,選挙費,104,97378000,2013
総務費,2,統計調査費,105,21421000,2013
総務費,2,監査員費,106,19163000,2013
民生費,3,社会福祉費,107,26293651000,2013
民生費,3,児童福祉費,108,14689051000,2013
民生費,3,生活保護費,109,22130391000,2013
民生費,3,災害救助費,110,1000,2013
衛生費,4,保健衛生費,111,2804663000,2013
衛生費,4,清掃費,112,3434223000,2013
衛生費,4,上水道費,113,703327000,2013
衛生費,4,下水道費,114,1796986000,2013
衛生費,4,病院費,115,1433763000,2013
労働費,5,労働費,116,169150000,2013
農林水産業費,6,農業費,117,1263882000,2013
農林水産業費,6,林業費,118,77875000,2013
商工費,7,商工費,119,9188804000,2013
土木費,8,土木管理費,120,615534000,2013
土木費,8,道路橋りょう費,121,8390845000,2013
土木費,8,河川費,122,100000000,2013
土木費,8,空港費,123,1892890000,2013
土木費,8,都市計画費,124,7273892000,2013
土木費,8,住宅費,125,1421488000,2013
消防費,9,消防費,126,721402000,2013
教育費,10,教育総務費,127,82291000,2013
教育費,10,小学校費,128,4126207000,2013
教育費,10,中学校費,129,2366609000,2013
教育費,10,幼稚園費,130,367338000,2013
教育費,10,高等学校費,131,8194000,2013
教育費,10,社会教育費,132,1546557000,2013
教育費,10,保健体育費,133,1240176000,2013
教育費,10,私立学校等振興費,134,26816000,2013
災害復旧費,11,土木施設災害復旧費,135,1200000,2013
公債費,12,公債費,136,18305319000,2013
職員費,13,職員費,137,18370000000,2013
予備費,14,予備費,138,50000000,2013
